VE,VE Transmission,Mask Effect,Average Secondary Infections
0.4,0.29,0.0,0.0
0.4,0.5,0.0,0.0
0.4,1.0,0.0,0.0
0.42,0.29,0.0,0.0
0.42,0.5,0.0,0.0
0.42,1.0,0.0,0.0
0.66,0.29,0.0,0.0
0.66,0.5,0.0,0.0
0.66,1.0,0.0,0.0
0.76,0.29,0.0,0.0
0.76,0.5,0.0,0.0
0.76,1.0,0.0,0.0
0.79,0.29,0.0,0.0
0.79,0.5,0.0,0.0
0.79,1.0,0.0,0.0
0.88,0.29,0.0,0.0
0.88,0.5,0.0,0.0
0.88,1.0,0.0,0.0
0.4,0.29,0.014499999999999999,0.0010476091595351402
0.4,0.5,0.014499999999999999,0.0007522628095234571
0.4,1.0,0.014499999999999999,0.0
0.42,0.29,0.014499999999999999,0.0010302821218700381
0.42,0.5,0.014499999999999999,0.0007064372289531961
0.42,1.0,0.014499999999999999,0.0
0.66,0.29,0.014499999999999999,0.0006030535490118611
0.66,0.5,0.014499999999999999,0.0004182870176434172
0.66,1.0,0.014499999999999999,9.913908358536945e-07
0.76,0.29,0.014499999999999999,0.0004183448177325226
0.76,0.5,0.014499999999999999,0.0002940086956888108
0.76,1.0,0.014499999999999999,0.0
0.79,0.29,0.014499999999999999,0.0003719251965668639
0.79,0.5,0.014499999999999999,0.00026210450492696947
0.79,1.0,0.014499999999999999,2.3384965552427505e-07
0.88,0.29,0.014499999999999999,0.00021170478198843465
0.88,0.5,0.014499999999999999,0.00014689033794427372
0.88,1.0,0.014499999999999999,1.8547823955707778e-07
0.4,0.29,0.028999999999999998,0.0020952183190702804
0.4,0.5,0.028999999999999998,0.0015045256190469143
0.4,1.0,0.028999999999999998,0.0
0.42,0.29,0.028999999999999998,0.0020605642437400763
0.42,0.5,0.028999999999999998,0.0014128744579063922
0.42,1.0,0.028999999999999998,0.0
0.66,0.29,0.028999999999999998,0.0012061070980237223
0.66,0.5,0.028999999999999998,0.0008365740352868344
0.66,1.0,0.028999999999999998,1.982781671707389e-06
0.76,0.29,0.028999999999999998,0.0008366896354650452
0.76,0.5,0.028999999999999998,0.0005880173913776216
0.76,1.0,0.028999999999999998,0.0
0.79,0.29,0.028999999999999998,0.0007438503931337278
0.79,0.5,0.028999999999999998,0.0005242090098539389
0.79,1.0,0.028999999999999998,4.676993110485501e-07
0.88,0.29,0.028999999999999998,0.0004234095639768693
0.88,0.5,0.028999999999999998,0.00029378067588854744
0.88,1.0,0.028999999999999998,3.7095647911415555e-07
0.4,0.29,0.0435,0.0031428274786054204
0.4,0.5,0.0435,0.0022567884285703715
0.4,1.0,0.0435,0.0
0.42,0.29,0.0435,0.0030908463656101146
0.42,0.5,0.0435,0.0021193116868595883
0.42,1.0,0.0435,0.0
0.66,0.29,0.0435,0.0018091606470355835
0.66,0.5,0.0435,0.0012548610529302517
0.66,1.0,0.0435,2.9741725075610837e-06
0.76,0.29,0.0435,0.0012550344531975677
0.76,0.5,0.0435,0.0008820260870664325
0.76,1.0,0.0435,0.0
0.79,0.29,0.0435,0.0011157755897005918
0.79,0.5,0.0435,0.0007863135147809084
0.79,1.0,0.0435,7.015489665728251e-07
0.88,0.29,0.0435,0.0006351143459653039
0.88,0.5,0.0435,0.0004406710138328212
0.88,1.0,0.0435,5.564347186712333e-07
0.4,0.29,0.057999999999999996,0.004190436638140561
0.4,0.5,0.057999999999999996,0.0030090512380938285
0.4,1.0,0.057999999999999996,0.0
