,N,p,infected,number_unvax,number_unvax_seats,ind,feet_apart,Percent Occupancy,Percent Vaccinated
0,36,0.0,0.07323035019144508,36,294.0,0,1.0,0.12244897959183673,0.0
1,36,0.0,0.021097900281026982,36,294.0,0,1.0,0.12244897959183673,0.0
2,36,0.0,0.02045239559439027,36,294.0,0,1.0,0.12244897959183673,0.0
3,36,0.0,0.006111897910347386,36,294.0,0,1.0,0.12244897959183673,0.0
4,36,0.0,0.013725270944373258,36,294.0,0,1.0,0.12244897959183673,0.0
5,36,0.0,0.022006772389147056,36,294.0,0,1.0,0.12244897959183673,0.0
6,36,0.0,0.009943793925086708,36,294.0,0,1.0,0.12244897959183673,0.0
7,36,0.0,0.04854646366721027,36,294.0,0,1.0,0.12244897959183673,0.0
8,36,0.0,0.01922779737236857,36,294.0,0,1.0,0.12244897959183673,0.0
9,36,0.0,0.02819960943406774,36,294.0,0,1.0,0.12244897959183673,0.0
10,36,0.0,0.0398870473828743,36,294.0,0,1.0,0.12244897959183673,0.0
11,36,0.0,0.008275438172452798,36,294.0,0,1.0,0.12244897959183673,0.0
12,36,0.0,0.0316736643235751,36,294.0,0,1.0,0.12244897959183673,0.0
13,36,0.0,0.022645640944268686,36,294.0,0,1.0,0.12244897959183673,0.0
14,36,0.0,0.04240529936448645,36,294.0,0,1.0,0.12244897959183673,0.0
15,36,0.0,0.011335044442067121,36,294.0,0,1.0,0.12244897959183673,0.0
16,36,0.0,0.025811324918530776,36,294.0,0,1.0,0.12244897959183673,0.0
17,36,0.0,0.0518569579361815,36,294.0,0,1.0,0.12244897959183673,0.0
18,36,0.0,0.03961841453534232,36,294.0,0,1.0,0.12244897959183673,0.0
19,36,0.0,0.018044592980832053,36,294.0,0,1.0,0.12244897959183673,0.0
20,36,0.0,0.012708890576751508,36,294.0,0,1.0,0.12244897959183673,0.0
21,36,0.0,0.00046615126705429333,36,294.0,0,1.0,0.12244897959183673,0.0
22,36,0.0,0.017454936234941765,36,294.0,0,1.0,0.12244897959183673,0.0
23,36,0.0,0.0033311458475316913,36,294.0,0,1.0,0.12244897959183673,0.0
24,36,0.0,0.025692995210866876,36,294.0,0,1.0,0.12244897959183673,0.0
25,36,0.0,0.02851377947118483,36,294.0,0,1.0,0.12244897959183673,0.0
26,36,0.0,0.017786972962859138,36,294.0,0,1.0,0.12244897959183673,0.0
27,36,0.0,0.019570834550613037,36,294.0,0,1.0,0.12244897959183673,0.0
28,36,0.0,0.010259078817706269,36,294.0,0,1.0,0.12244897959183673,0.0
29,36,0.0,0.053612295838756374,36,294.0,0,1.0,0.12244897959183673,0.0
30,36,0.0,0.004769041681270458,36,294.0,0,1.0,0.12244897959183673,0.0
31,36,0.0,0.04502349673032524,36,294.0,0,1.0,0.12244897959183673,0.0
32,36,0.0,0.02418336287641909,36,294.0,0,1.0,0.12244897959183673,0.0
33,36,0.0,0.02781597544644132,36,294.0,0,1.0,0.12244897959183673,0.0
34,36,0.0,0.01789416824797796,36,294.0,0,1.0,0.12244897959183673,0.0
35,36,0.0,0.0563354895108793,36,294.0,0,1.0,0.12244897959183673,0.0
36,36,0.0,0.007475852068693278,36,294.0,0,1.0,0.12244897959183673,0.0
37,36,0.0,0.046375355522056516,36,294.0,0,1.0,0.12244897959183673,0.0
38,36,0.0,0.013101466754156466,36,294.0,0,1.0,0.12244897959183673,0.0
39,36,0.0,0.020244042492830405,36,294.0,0,1.0,0.12244897959183673,0.0
40,36,0.0,0.05875058701341296,36,294.0,0,1.0,0.12244897959183673,0.0
41,36,0.0,0.029248956630538725,36,294.0,0,1.0,0.12244897959183673,0.0
42,36,0.0,0.029906404199219416,36,294.0,0,1.0,0.12244897959183673,0.0
43,36,0.0,0.02045634094663784,36,294.0,0,1.0,0.12244897959183673,0.0
44,36,0.0,0.034703618496693345,36,294.0,0,1.0,0.12244897959183673,0.0
45,36,0.0,0.02751599425692619,36,294.0,0,1.0,0.12244897959183673,0.0
46,36,0.0,0.011781423754605114,36,294.0,0,1.0,0.12244897959183673,0.0
47,36,0.0,0.01213336308271562,36,294.0,0,1.0,0.12244897959183673,0.0
48,36,0.0,0.03782386599886256,36,294.0,0,1.0,0.12244897959183673,0.0
49,36,0.0,0.01786889186860474,36,294.0,0,1.0,0.12244897959183673,0.0
50,36,0.0,0.017904956017541496,36,294.0,0,1.0,0.12244897959183673,0.0
51,36,0.0,0.0007481256787854607,36,294.0,0,1.0,0.12244897959183673,0.0
52,36,0.0,0.05873473282796404,36,294.0,0,1.0,0.12244897959183673,0.0
53,36,0.0,0.021691394586294654,36,294.0,0,1.0,0.12244897959183673,0.0
54,36,0.0,0.011854679767007381,36,294.0,0,1.0,0.12244897959183673,0.0
55,36,0.0,0.017541440424161503,36,294.0,0,1.0,0.12244897959183673,0.0
56,36,0.0,0.021323978024797352,36,294.0,0,1.0,0.12244897959183673,0.0
57,36,0.0,0.02419548266611926,36,294.0,0,1.0,0.12244897959183673,0.0
58,36,0.0,0.03335477807788456,36,294.0,0,1.0,0.12244897959183673,0.0
59,36,0.0,0.0032979978320459846,36,294.0,0,1.0,0.12244897959183673,0.0
60,36,0.0,0.04160229465655729,36,294.0,0,1.0,0.12244897959183673,0.0
61,36,0.0,0.0067128565869827295,36,294.0,0,1.0,0.12244897959183673,0.0
62,36,0.0,0.020829101302180075,36,294.0,0,1.0,0.12244897959183673,0.0
63,36,0.0,0.04651771847717401,36,294.0,0,1.0,0.12244897959183673,0.0
64,36,0.0,0.024471478082313092,36,294.0,0,1.0,0.12244897959183673,0.0
65,36,0.0,0.0089339707202164,36,294.0,0,1.0,0.12244897959183673,0.0
66,36,0.0,0.020860020076520547,36,294.0,0,1.0,0.12244897959183673,0.0
67,36,0.0,0.008621867913184755,36,294.0,0,1.0,0.12244897959183673,0.0
68,36,0.0,0.00976062726345106,36,294.0,0,1.0,0.12244897959183673,0.0
69,36,0.0,0.0009945907965888123,36,294.0,0,1.0,0.12244897959183673,0.0
70,36,0.0,0.03513570931050547,36,294.0,0,1.0,0.12244897959183673,0.0
71,36,0.0,0.04210860641120173,36,294.0,0,1.0,0.12244897959183673,0.0
72,36,0.0,0.048039174099639426,36,294.0,0,1.0,0.12244897959183673,0.0
73,36,0.0,0.011716991915448949,36,294.0,0,1.0,0.12244897959183673,0.0
74,36,0.0,0.020659849144267883,36,294.0,0,1.0,0.12244897959183673,0.0
75,36,0.0,0.007967108266987988,36,294.0,0,1.0,0.12244897959183673,0.0
76,36,0.0,0.019956088135923755,36,294.0,0,1.0,0.12244897959183673,0.0
77,36,0.0,0.0186223097489584,36,294.0,0,1.0,0.12244897959183673,0.0
78,36,0.0,0.02669574204509606,36,294.0,0,1.0,0.12244897959183673,0.0
