p,mean,std
0.0,6.36860428494411e-05,2.006305745929483e-05
0.1,5.469410489948327e-05,1.7586561898252432e-05
0.2,4.383600742865564e-05,1.755983307942357e-05
0.30000000000000004,3.610107533652968e-05,1.5375692670113732e-05
0.4,2.8091936998437437e-05,1.3702235925870107e-05
0.5,2.1535878891307252e-05,1.1311140837194482e-05
0.6000000000000001,1.4776658327009804e-05,9.146495616185625e-06
0.7000000000000001,1.0455200604796394e-05,7.254043134922615e-06
0.8,5.717580305959843e-06,4.81390006899343e-06
0.9,2.439690471085739e-06,2.43826356689656e-06
1.0,5.83713145284569e-07,1.7855811415968206e-07
