p,mean,std
0.0,8.071899932486705e-05,2.4715255211838363e-05
0.1,6.76750374454677e-05,2.2454599941954604e-05
0.2,5.362280539650055e-05,2.1755636829317108e-05
0.30000000000000004,4.487362503611026e-05,1.904327483518019e-05
0.4,3.5958273957001714e-05,1.6926030082406035e-05
0.5,2.6944052986319825e-05,1.402236807605873e-05
0.6000000000000001,1.9372977006110278e-05,1.1253821253014735e-05
0.7000000000000001,1.3179153437065359e-05,9.434336841459273e-06
0.8,8.085605544875317e-06,6.199885708152049e-06
0.9,3.2335720012627892e-06,3.2608861939383988e-06
1.0,7.249998322978868e-07,2.2292445851596698e-07
