p,mean,std
0.0,6.339182174692954e-05,1.9344535747679838e-05
0.1,5.113549426232747e-05,1.7979241268218127e-05
0.2,4.0797815264641626e-05,1.561129473108907e-05
0.30000000000000004,3.352649864253235e-05,1.4220333969158519e-05
0.4,2.609574969112777e-05,1.1992620314204602e-05
0.5,1.9026300867185776e-05,9.967141605414822e-06
0.6000000000000001,1.293825775015844e-05,7.608883008235245e-06
0.7000000000000001,8.531763199980837e-06,5.747513863342564e-06
0.8,4.778862025290778e-06,3.592341262250039e-06
0.9,2.169736694247626e-06,1.8587565992255156e-06
1.0,5.694550815317422e-07,1.8477483465358512e-07
