p,mean,std
0.0,7.799759857012571e-05,2.4356840150302598e-05
0.1,6.720945348958002e-05,2.1382117995271285e-05
0.2,5.328657636900917e-05,2.001101969988309e-05
0.30000000000000004,4.1743990357771685e-05,1.846324731346155e-05
0.4,3.1910043310623504e-05,1.5173303752545232e-05
0.5,2.3821632893769067e-05,1.2664857976404283e-05
0.6000000000000001,1.596223779923548e-05,1.0027612865010867e-05
0.7000000000000001,1.0189434055996944e-05,6.881930557107272e-06
0.8,6.013500447883346e-06,4.563145294825826e-06
0.9,2.8398984185065254e-06,2.324812364635318e-06
1.0,7.25806850190741e-07,2.2291824991868602e-07
