p,mean,std
0.0,0.0002094491662163694,6.781066944839353e-05
0.1,0.00016937998357377355,6.059199096813528e-05
0.2,0.0001357013901618505,5.6699414040519454e-05
0.30000000000000004,0.00011042238848891697,4.9567653565983635e-05
0.4,8.504752426960283e-05,4.186433212770355e-05
0.5,6.392268277445015e-05,3.261628495226487e-05
0.6000000000000001,4.399092603654878e-05,2.5646758323153052e-05
0.7000000000000001,2.807063484860119e-05,1.9314669389464284e-05
0.8,1.636086091196466e-05,1.2539065086943293e-05
0.9,7.31122920314858e-06,6.08724794259026e-06
1.0,1.9291581687109867e-06,6.776362015885232e-07
